Year,Label (Grouping),Population 18 to 24 years,Less than high school graduate,High school graduate (includes equivalency),Some college or associate's degree,Bachelor's degree or higher,Population 25 years and over,Less than 9th grade,"9th to 12th grade, no diploma",High school graduate (includes equivalency),"Some college, no degree",Associate's degree,Bachelor's degree,Graduate or professional degree,Percent high school graduate or higher,Percent bachelor's degree or higher,POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL,    Less than high school graduate,    High school graduate (includes equivalency),    Some college or associate's degree,    Bachelor's degree or higher,MEDIAN EARNINGS IN THE PAST 12 MONTHS,    Population 25 years and over with earnings,    Less than high school graduate,    High school graduate (includes equivalency),    Some college or associate's degree,    Bachelor's degree,    Graduate or professional degree,    Educational attainment
2012,"Mesa city, Arizona!!Total!!Estimate","44,632",17.20%,30.40%,45.40%,7.10%,"294,318",5.40%,6.40%,26.90%,28.20%,8.40%,17.10%,7.70%,88.20%,24.80%,,31.00%,15.40%,10.30%,4.20%,,"33,127","20,689","27,464","31,621","47,315","61,035",8.80%
2012,"Phoenix city, Arizona!!Total!!Estimate","157,290",21.90%,30.20%,41.50%,6.40%,"927,356",10.30%,9.20%,23.50%,22.40%,7.90%,17.00%,9.70%,80.50%,26.70%,,36.10%,21.50%,14.10%,6.30%,,"31,902","17,863","25,496","33,263","49,415","61,866",6.20%
2012,"Tucson city, Arizona!!Total!!Estimate","77,369",12.80%,24.20%,55.30%,7.70%,"330,011",6.40%,9.50%,23.20%,27.50%,8.60%,15.10%,9.80%,84.10%,24.80%,,35.50%,20.80%,16.90%,8.60%,,"26,886","16,171","22,422","27,065","37,290","50,344",5.60%
2012,"Fresno city, California!!Total!!Estimate","57,456",17.50%,23.10%,55.30%,4.10%,"298,332",13.60%,11.60%,23.30%,24.90%,7.20%,13.70%,5.60%,74.80%,19.40%,,37.80%,26.80%,21.90%,8.00%,,"26,767","15,230","21,941","27,608","44,186","68,187",7.10%
2012,"Los Angeles city, California!!Total!!Estimate","428,647",17.40%,24.90%,46.00%,11.70%,"2,562,296",14.70%,10.00%,19.80%,18.20%,5.80%,21.00%,10.40%,75.30%,31.50%,,31.70%,20.90%,15.80%,8.10%,,"30,128","16,919","23,602","30,859","46,784","64,409",6.90%
2012,"Oakland city, California!!Total!!Estimate","36,530",15.00%,28.30%,40.10%,16.60%,"277,914",10.70%,8.80%,17.20%,18.90%,5.60%,23.00%,15.80%,80.50%,38.80%,,34.30%,25.30%,17.10%,6.40%,,"35,714","17,699","24,181","31,772","47,464","71,049",6.00%
2012,"Sacramento city, California!!Total!!Estimate","54,571",12.70%,27.50%,52.30%,7.50%,"307,778",9.50%,7.10%,20.70%,24.50%,8.90%,18.80%,10.50%,83.40%,29.30%,,36.70%,22.50%,15.40%,7.20%,,"34,697","16,205","27,951","32,447","46,834","66,565",5.50%
2012,"San Diego city, California!!Total!!Estimate","172,474",9.20%,27.60%,50.60%,12.70%,"886,899",6.70%,5.70%,17.00%,20.40%,8.20%,24.90%,17.00%,87.60%,42.00%,,28.90%,14.90%,10.20%,5.60%,,"39,586","16,952","27,659","35,109","50,781","70,997",6.30%
2012,"San Francisco city, California!!Total!!Estimate","70,094",8.70%,20.60%,44.50%,26.20%,"644,836",8.30%,5.10%,13.00%,14.60%,5.40%,32.90%,20.70%,86.60%,53.60%,,25.90%,19.50%,15.20%,7.00%,,"50,367","18,704","23,962","36,202","61,426","82,402",7.00%
2012,"San Jose city, California!!Total!!Estimate","91,277",13.00%,28.70%,46.90%,11.30%,"653,138",9.80%,8.40%,17.20%,18.50%,7.90%,23.50%,14.80%,81.80%,38.20%,,24.50%,14.50%,8.60%,4.20%,,"43,713","20,680","28,567","40,267","65,319","98,468",7.00%
2012,"Denver city, Colorado!!Total!!Estimate","58,422",16.30%,21.60%,41.90%,20.20%,"437,985",6.90%,7.20%,17.90%,18.20%,5.20%,27.70%,16.90%,86.00%,44.70%,,33.60%,20.90%,16.10%,5.50%,,"37,007","20,196","26,122","30,821","48,133","61,379",4.60%
2012,"Washington city, District of Columbia!!Total!!Estimate","83,340",11.50%,22.60%,41.70%,24.20%,"439,531",4.40%,7.00%,18.40%,14.00%,3.20%,23.00%,30.00%,88.60%,53.00%,,34.50%,22.80%,15.60%,5.10%,,"52,393","20,642","29,874","35,725","60,104","82,110",7.60%
2012,"Jacksonville city, Florida!!Total!!Estimate","87,866",18.10%,35.30%,40.20%,6.30%,"554,106",3.50%,9.30%,29.40%,23.20%,8.90%,18.00%,7.60%,87.20%,25.60%,,32.00%,16.70%,12.50%,6.00%,,"31,868","18,886","26,442","31,038","42,179","53,718",9.90%
2012,"Miami city, Florida!!Total!!Estimate","33,200",20.20%,31.50%,38.50%,9.90%,"302,939",17.00%,10.00%,30.90%,11.60%,7.10%,14.30%,9.00%,72.90%,23.40%,,38.70%,31.60%,21.30%,10.90%,,"23,555","15,258","17,450","27,156","39,270","61,008",6.90%
