Year,Label (Grouping),Population 18 to 24 years,Less than high school graduate,High school graduate (includes equivalency),Some college or associate's degree,Bachelor's degree or higher,Population 25 years and over,    Less than 9th grade,"    9th to 12th grade, no diploma",    High school graduate (includes equivalency),"    Some college, no degree",    Associate's degree,    Bachelor's degree,    Graduate or professional degree,Percent high school graduate or higher,Percent bachelor's degree or higher,POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL,    Less than high school graduate,    High school graduate (includes equivalency),    Some college or associate's degree,    Bachelor's degree or higher,MEDIAN EARNINGS IN THE PAST 12 MONTHS,    Population 25 years and over with earnings,        Less than high school graduate,        High school graduate (includes equivalency),        Some college or associate's degree,        Bachelor's degree,        Graduate or professional degree,    Educational attainment
2013,"Mesa city, Arizona!!Total!!Estimate","45,238",17.50%,30.20%,43.90%,8.40%,"299,241",6.00%,7.10%,26.20%,25.30%,9.40%,16.50%,9.50%,86.90%,26.10%,,29.10%,16.70%,10.40%,5.40%,,"32,842","21,716","25,403","35,251","42,351","49,979",13.90%
2013,"Phoenix city, Arizona!!Total!!Estimate","161,057",22.90%,32.90%,37.20%,7.00%,"948,142",9.70%,9.10%,24.00%,22.50%,8.10%,17.10%,9.50%,81.20%,26.70%,,38.30%,22.10%,13.70%,5.70%,,"32,235","20,096","25,880","32,336","49,101","61,669",8.00%
2013,"Tucson city, Arizona!!Total!!Estimate","85,308",14.70%,29.20%,46.50%,9.60%,"325,393",7.30%,9.10%,23.70%,26.90%,7.70%,15.00%,10.20%,83.60%,25.20%,,34.10%,23.50%,15.10%,9.10%,,"26,889","16,485","22,036","26,984","41,887","46,917",6.90%
2013,"Fresno city, California!!Total!!Estimate","59,293",19.00%,26.80%,49.30%,4.80%,"298,171",12.50%,11.60%,21.90%,25.40%,8.00%,13.50%,7.10%,75.90%,20.60%,,40.50%,27.50%,18.20%,7.70%,,"29,056","16,052","25,714","30,192","48,284","61,592",8.90%
2013,"Los Angeles city, California!!Total!!Estimate","440,666",16.40%,24.80%,47.70%,11.10%,"2,589,852",15.40%,10.00%,19.40%,17.90%,6.00%,20.90%,10.50%,74.60%,31.40%,,30.60%,20.80%,15.40%,8.70%,,"30,076","16,800","22,402","31,923","46,895","66,913",9.40%
2013,"Oakland city, California!!Total!!Estimate","37,405",15.60%,23.70%,45.60%,15.10%,"285,488",11.30%,7.80%,16.50%,19.80%,6.00%,20.50%,18.00%,80.90%,38.60%,,29.00%,23.80%,18.00%,7.50%,,"35,883","18,115","22,748","31,522","50,435","66,796",7.90%
2013,"Sacramento city, California!!Total!!Estimate","50,511",9.70%,32.60%,48.70%,8.90%,"313,046",8.60%,7.60%,22.50%,23.70%,8.20%,18.60%,10.80%,83.70%,29.40%,,37.70%,20.40%,17.20%,7.70%,,"35,299","16,843","26,245","33,633","51,141","70,399",7.40%
2013,"San Diego city, California!!Total!!Estimate","163,901",11.60%,26.30%,46.60%,15.50%,"895,212",6.30%,6.10%,16.80%,21.40%,7.30%,24.70%,17.20%,87.50%,42.00%,,27.10%,15.30%,11.40%,5.60%,,"40,952","18,854","28,356","35,614","52,386","74,653",8.00%
2013,"San Francisco city, California!!Total!!Estimate","66,971",5.90%,19.00%,46.60%,28.50%,"658,387",8.00%,5.20%,12.60%,15.70%,5.40%,31.40%,21.70%,86.80%,53.00%,,26.90%,15.60%,15.70%,6.40%,,"51,488","18,905","25,707","36,186","66,090","86,753",9.60%
2013,"San Jose city, California!!Total!!Estimate","90,740",13.70%,24.40%,47.30%,14.60%,"668,527",9.80%,7.80%,17.70%,19.10%,7.60%,22.90%,15.10%,82.30%,38.00%,,23.30%,13.80%,8.80%,3.70%,,"45,436","21,631","28,590","41,234","70,513","100,760",8.70%
2013,"Denver city, Colorado!!Total!!Estimate","57,634",14.80%,22.50%,43.50%,19.30%,"455,345",6.50%,7.20%,18.40%,18.30%,5.30%,27.30%,17.10%,86.30%,44.40%,,32.50%,21.20%,13.00%,6.30%,,"37,121","20,137","27,265","31,979","47,221","61,524",7.80%
2013,"Washington city, District of Columbia!!Total!!Estimate","81,903",11.20%,22.60%,42.80%,23.40%,"453,014",3.80%,6.10%,18.60%,13.40%,3.10%,22.70%,32.40%,90.10%,55.10%,,39.30%,27.00%,17.20%,5.40%,,"55,125","20,198","26,642","36,202","60,508","81,522",9.40%
2013,"Jacksonville city, Florida!!Total!!Estimate","85,111",18.90%,31.90%,41.20%,8.10%,"562,191",3.50%,7.50%,28.80%,23.30%,10.20%,18.60%,8.20%,89.10%,26.80%,,30.10%,17.00%,12.00%,5.10%,,"32,437","20,258","25,519","31,988","41,547","56,355",9.20%
2013,"Miami city, Florida!!Total!!Estimate","35,879",22.10%,32.60%,33.30%,11.90%,"303,255",15.80%,10.90%,28.80%,12.60%,7.00%,15.30%,9.70%,73.30%,25.00%,,40.60%,27.70%,21.40%,9.60%,,"24,103","15,798","19,647","25,886","40,438","55,160",8.20%
2013,"Orlando city, Florida!!Total!!Estimate","26,384",12.90%,27.40%,43.90%,15.70%,"172,746",2.60%,7.30%,26.90%,16.80%,11.20%,24.00%,11.10%,90.10%,35.20%,,44.50%,21.80%,13.80%,6.60%,,"30,515","16,277","22,208","30,376","40,426","60,560",8.90%
2013,"Tampa city, Florida!!Total!!Estimate","41,629",15.40%,21.90%,47.80%,14.80%,"236,880",5.00%,8.40%,25.90%,17.90%,7.40%,21.60%,13.70%,86.50%,35.40%,,33.20%,24.90%,14.70%,5.50%,,"34,239","17,070","25,481","30,089","50,921","68,781",7.80%
2013,"Atlanta city, Georgia!!Total!!Estimate","66,086",11.80%,16.00%,56.30%,15.90%,"296,510",2.50%,8.00%,19.40%,16.60%,5.10%,27.60%,20.80%,89.50%,48.40%,,51.20%,32.80%,18.90%,5.30%,,"42,173","15,134","22,295","27,874","51,398","68,070",7.20%
2013,"Chicago city, Illinois!!Total!!Estimate","290,532",16.40%,25.90%,42.40%,15.40%,"1,830,209",8.90%,8.80%,23.40%,17.80%,5.90%,20.80%,14.30%,82.20%,35.10%,,29.70%,24.00%,17.70%,8.30%,,"35,797","20,201","24,761","30,321","51,468","67,073",8.20%
2013,"Indianapolis city (balance), Indiana!!Total!!Estimate","84,268",20.40%,27.40%,40.20%,12.00%,"546,975",5.10%,9.80%,28.10%,22.40%,6.80%,17.80%,9.90%,85.10%,27.70%,,36.90%,17.60%,17.20%,6.00%,,"31,036","17,658","24,688","27,475","42,032","60,144",6.50%
2013,"Wichita city, Kansas!!Total!!Estimate","36,584",16.30%,24.50%,52.20%,7.00%,"247,373",5.10%,7.70%,26.20%,25.60%,6.60%,19.30%,9.50%,87.20%,28.80%,,29.30%,15.50%,11.30%,6.30%,,"32,215","21,758","28,395","28,002","45,308","55,584",4.50%
2013,"New Orleans city, Louisiana!!Total!!Estimate","40,614",17.70%,24.60%,47.10%,10.70%,"260,256",4.60%,10.40%,23.40%,20.70%,4.90%,20.10%,16.00%,85.00%,36.00%,,44.10%,28.50%,20.20%,8.00%,,"31,718","15,778","22,488","29,591","41,173","57,252",6.70%
2013,"Baltimore city, Maryland!!Total!!Estimate","70,581",15.50%,26.10%,45.00%,13.50%,"420,247",5.30%,12.80%,29.00%,19.40%,4.70%,15.00%,13.70%,81.80%,28.70%,,33.70%,23.30%,16.90%,8.20%,,"36,525","20,645","30,156","32,469","49,782","60,232",11.80%
