,1,2,3,4,5,6,7,8,9,10,11,12,13,14,27,56,57,58,59,60,61,62,63,64,65,66,67
Label (Grouping),Population 18 to 24 years,    Less than high school graduate,    High school graduate (includes equivalency),    Some college or associate's degree,    Bachelor's degree or higher,Population 25 years and over,    Less than 9th grade,"    9th to 12th grade, no diploma",    High school graduate (includes equivalency),"    Some college, no degree",    Associate's degree,    Bachelor's degree,    Graduate or professional degree,Percent high school graduate or higher,    Bachelor's degree or higher,POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL,    Less than high school graduate,    High school graduate (includes equivalency),    Some college or associate's degree,    Bachelor's degree or higher,MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS),    Population 25 years and over with earnings,        Less than high school graduate,        High school graduate (includes equivalency),        Some college or associate's degree,        Bachelor's degree,        Graduate or professional degree
"Mesa city, Arizona!!Total!!Estimate","45,346","7,850","15,401","19,923","2,172","314,920","19,017","21,563","78,912","87,571","28,588","53,403","25,866",(X),"20,792",,(X),(X),(X),(X),,"32,233","20,658","27,929","32,280","46,275","51,520"
"Phoenix city, Arizona!!Total!!Estimate","156,622","32,783","51,217","60,874","11,748","995,646","98,676","98,619","245,300","212,597","75,292","171,982","93,180",(X),"39,446",,(X),(X),(X),(X),,"33,384","20,573","27,233","34,509","50,536","62,196"
"Tucson city, Arizona!!Total!!Estimate","85,283","11,575","20,907","45,720","7,081","331,389","22,708","32,810","80,221","81,545","26,352","52,354","35,399",(X),"19,811",,(X),(X),(X),(X),,"28,133","17,436","22,577","27,521","37,305","47,040"
"Fresno city, California!!Total!!Estimate","60,010","8,209","16,505","31,279","4,017","307,534","41,579","33,664","72,889","77,999","21,900","40,962","18,541",(X),"10,584",,(X),(X),(X),(X),,"27,905","17,413","25,350","28,434","50,363","71,012"
"Los Angeles city, California!!Total!!Estimate","429,347","59,281","112,558","204,936","52,572","2,687,915","372,012","262,965","543,037","477,244","155,266","579,600","297,791",(X),"134,935",,(X),(X),(X),(X),,"31,686","18,491","25,216","32,290","50,937","66,807"
"Oakland city, California!!Total!!Estimate","35,870","5,248","8,466","14,509","7,647","298,374","34,484","26,540","46,425","55,641","15,841","66,787","52,656",(X),"17,684",,(X),(X),(X),(X),,"36,458","21,522","23,498","31,482","52,436","71,712"
"Sacramento city, California!!Total!!Estimate","46,779","6,221","13,068","23,113","4,377","323,209","27,774","25,996","70,635","71,877","29,064","64,091","33,772",(X),"17,659",,(X),(X),(X),(X),,"35,265","21,077","26,381","31,734","50,886","71,124"
"San Diego city, California!!Total!!Estimate","164,104","11,958","42,731","89,945","19,470","945,996","62,516","59,119","149,407","191,071","64,717","244,058","175,108",(X),"63,901",,(X),(X),(X),(X),,"41,422","19,007","27,484","33,447","56,820","78,506"
"San Francisco city, California!!Total!!Estimate","64,930","3,577","11,124","30,250","19,979","683,821","56,405","28,375","87,434","96,288","38,150","227,064","150,105",(X),"47,297",,(X),(X),(X),(X),,"58,071","21,223","30,628","42,350","72,016","95,182"
"San Jose city, California!!Total!!Estimate","93,567","9,778","25,141","43,790","14,858","697,313","70,391","45,510","121,953","122,499","53,037","167,117","116,806",(X),"36,587",,(X),(X),(X),(X),,"47,500","22,448","30,568","41,441","70,836","102,273"
"Denver city, Colorado!!Total!!Estimate","58,040","10,017","14,078","25,039","8,906","483,833","35,327","33,342","79,629","84,368","23,242","138,565","89,360",(X),"28,175",,(X),(X),(X),(X),,"41,220","23,524","30,355","35,609","51,032","65,481"
