,report_year,agency_code,agency_jurisdiction,population,violent_crimes,homicides,rapes,assaults,robberies,months_reported,crimes_percapita,homicides_percapita,rapes_percapita,assaults_percapita,robberies_percapita,state,0bed,1bed,2bed,3bed,4bed,Mean_Rent,Unemployment Rate %,Median Income
0,2005,NM00101,Albuquerque,490631,4670,53,285,3182,1150,12,951.84,10.8,58.09,648.55,234.39,NM,470,553,699,1017,1224,792.6,5.1,38947
1,2005,TX22001,Arlington,365380,2369,24,178,1399,768,12,648.37,6.57,48.72,382.89,210.19,TX,558,597,732,995,1125,801.4,5.4,41422
2,2005,GAAPD00,Atlanta,430666,7213,90,223,4039,2861,12,1674.85,20.9,51.78,937.85,664.32,GA,769,834,928,1150,1295,995.2,5.3,45926
3,2005,TX22701,Austin,693019,3393,26,312,1873,1182,12,489.6,3.75,45.02,270.27,170.56,TX,656,747,912,1240,1435,998,5.4,41422
4,2005,MDBPD00,Baltimore,641097,11248,269,162,6907,3910,12,1754.49,41.96,25.27,1077.37,609.89,MD,662,750,900,1155,1428,979,4.1,60512
5,2005,MA01301,Boston,567589,7479,73,268,4489,2649,12,1317.68,12.86,47.22,790.89,466.71,MA,1066,1120,1308,1593,1898,1397,4.8,56017
6,2005,NY01401,Buffalo,283269,3938,56,184,2031,1667,12,1390.2,19.77,64.96,716.99,588.49,NY,538,542,648,806,899,686.6,5,47176
7,2005,NC06001,Charlotte,677122,7933,85,323,3876,3649,12,1171.58,12.55,47.7,572.42,538.9,NC,642,695,773,986,1209,861,5.2,42056
8,2005,ILCPD00,Chicago,2873441,36050,448,1695,17943,15964,12,1254.59,15.59,58.99,624.44,555.57,IL,693,803,906,1100,1266,953.6,5.7,48398
9,2005,OHCLP00,Cleveland,458885,6430,110,488,2088,3744,12,1401.22,23.97,106.34,455.02,815.89,OH,508,578,703,916,980,737,5.9,44203
10,2005,OHCOP00,Columbus,730329,6203,103,557,1733,3810,12,849.34,14.1,76.27,237.29,521.68,OH,470,543,683,865,989,710,5.9,44203
11,2005,TXDPD00,Dallas,1230303,15429,202,562,7783,6882,12,1254.08,16.42,45.68,632.61,559.37,TX,633,713,868,1147,1412,954.6,5.4,41422
12,2005,CODPD00,Denver,564552,4446,59,316,2642,1429,12,787.53,10.45,55.97,467.98,253.12,CO,674,768,973,1382,1612,1081.8,5,50449
13,2005,MI82349,Detroit,900932,21274,373,590,13485,6826,12,2361.33,41.4,65.49,1496.78,757.66,MI,606,670,805,962,992,807,6.8,45933
14,2005,TX07102,El Paso,601839,2621,14,301,1858,448,12,435.5,2.33,50.01,308.72,74.44,TX,458,494,584,845,989,674,5.4,41422
15,2005,TX22012,Fort Worth,613261,3920,60,311,2170,1379,12,639.21,9.78,50.71,353.85,224.86,TX,558,597,732,995,1125,801.4,5.4,41422
16,2005,CA01005,Fresno,460758,3897,49,149,2424,1275,12,845.78,10.63,32.34,526.09,276.72,CA,504,556,650,947,1062,743.8,5.4,51755
17,2005,HI00200,Honolulu,908521,2570,15,234,1480,841,12,282.88,1.65,25.76,162.9,92.57,HI,711,848,1024,1492,1759,1166.8,2.9,59586
18,2005,TXHPD00,Houston,2045732,23987,334,872,11653,11128,12,1172.54,16.33,42.63,569.62,543.96,TX,589,657,801,1071,1347,893,5.4,41422
19,2005,INIPD00,Indianapolis,800304,7948,108,527,4039,3274,12,993.12,13.49,65.85,504.68,409.09,IN,507,584,702,908,981,736.4,5.5,42437
20,2005,FL01602,Jacksonville,795259,6600,91,189,4067,2253,12,829.92,11.44,23.77,511.41,283.3,FL,571,638,749,961,1127,809.2,3.7,42990
21,2005,CA01942,Los Angeles,3871077,31767,489,1105,16376,13797,12,820.62,12.63,28.55,423.03,356.41,CA,784,945,1186,1614,1990,1303.8,5.4,51755
22,2005,AZ00717,Mesa,452340,2280,29,194,1597,460,12,504.05,6.41,42.89,353.05,101.69,AZ,578,677,817,1190,1420,936.4,4.7,45245
