,Unnamed: 0,Unnamed: 0.1,State,FMR_Area,Rent50_0Bed,Rent50_1Bed,Rent50_2Bed,Rent50_3Bed,Rent50_4Bed,MSAName,msa,State_Alpha,pop2000
0,0,0,1,450,383.0,397.0,487.0,660.0,770.0,"Anniston, AL MSA",450,AL,112249
1,1,1,1,580,357.0,425.0,551.0,746.0,769.0,"Auburn--Opelika, AL MSA",580,AL,115092
2,2,2,1,1000,479.0,563.0,627.0,803.0,857.0,"Birmingham, AL MSA",1000,AL,921106
3,3,3,1,1800,487.0,514.0,588.0,772.0,915.0,"Columbus, GA--AL MSA",1800,AL,49756
4,4,4,1,2030,382.0,437.0,492.0,672.0,691.0,"Decatur, AL MSA",2030,AL,145867
5,5,5,1,2180,351.0,421.0,467.0,639.0,729.0,"Dothan, AL MSA",2180,AL,137916
6,6,6,1,2650,411.0,412.0,504.0,664.0,774.0,"Florence, AL MSA",2650,AL,142950
7,7,7,1,2880,376.0,430.0,500.0,653.0,673.0,"Gadsden, AL MSA",2880,AL,103459
8,8,8,1,3440,442.0,471.0,567.0,775.0,915.0,"Huntsville, AL MSA",3440,AL,342376
9,9,9,1,5160,484.0,520.0,602.0,795.0,942.0,"Mobile, AL MSA",5160,AL,540258
10,10,10,1,5240,477.0,551.0,622.0,839.0,1091.0,"Montgomery, AL MSA",5240,AL,333055
11,11,11,1,8600,429.0,483.0,604.0,806.0,830.0,"Tuscaloosa, AL MSA",8600,AL,164875
12,57,57,2,380,648.0,733.0,930.0,1353.0,1631.0,"Anchorage, AK MSA",380,AK,260283
39,84,84,4,2620,732.0,846.0,964.0,1251.0,1651.0,"Flagstaff, AZ--UT MSA",2620,AZ,116320
40,85,85,4,4120,665.0,773.0,907.0,1234.0,1550.0,"Las Vegas, NV--AZ MSA",4120,AZ,155032
41,86,86,4,6200,578.0,677.0,817.0,1190.0,1420.0,"Phoenix--Mesa, AZ MSA",6200,AZ,3251876
42,87,87,4,8520,497.0,584.0,761.0,1102.0,1237.0,"Tucson, AZ MSA",8520,AZ,843746
43,88,88,4,9360,517.0,577.0,683.0,975.0,1153.0,"Yuma, AZ MSA",9360,AZ,160026
44,98,98,5,2580,431.0,454.0,581.0,845.0,912.0,"Fayetteville--Springdale--Rogers, AR MSA",2580,AR,311121
45,99,99,5,2720,346.0,392.0,507.0,689.0,782.0,"Fort Smith, AR--OK MSA",2720,AR,168318
46,100,100,5,3700,429.0,447.0,517.0,733.0,755.0,"Jonesboro, AR MSA",3700,AR,82148
47,101,101,5,4400,497.0,552.0,613.0,844.0,923.0,"Little Rock--North Little Rock, AR MSA",4400,AR,583845
48,102,102,5,4920,559.0,605.0,673.0,900.0,938.0,"Memphis, TN--AR--MS MSA",4920,AR,50866
49,103,103,5,6240,368.0,446.0,558.0,717.0,771.0,"Pine Bluff, AR MSA",6240,AR,84278
50,104,104,5,8360,436.0,437.0,537.0,676.0,736.0,"Texarkana, TX--Texarkana, AR MSA",8360,AR,40443
51,168,168,6,680,501.0,540.0,639.0,932.0,1123.0,"Bakersfield, CA MSA",680,CA,661645
