,State,CBSASub,areaname,Rent50_0,Rent50_1,Rent50_2,Rent50_3,Rent50_4,state_alpha,pop2000
0,1,METRO11500M11500,"Anniston-Oxford, AL MSA",410,425,521,705,824,AL,112249
1,1,METRO12220M12220,"Auburn-Opelika, AL MSA",383,457,589,801,822,AL,115092
2,1,METRO13820M13820,"Birmingham-Hoover, AL HUD Metro FMR Area",483,555,619,789,846,AL,941932
5,1,METRO17980M17980,"Columbus, GA-AL MSA",518,549,625,824,975,AL,49756
6,1,METRO19460M19460,"Decatur, AL MSA",411,468,527,719,740,AL,145867
7,1,METRO20020M20020,"Dothan, AL HUD Metro FMR Area",390,454,504,640,734,AL,114551
9,1,METRO22520M22520,"Florence-Muscle Shoals, AL MSA",438,440,540,712,828,AL,142950
10,1,METRO23460M23460,"Gadsden, AL MSA",403,461,536,700,724,AL,103459
11,1,METRO26620M26620,"Huntsville, AL MSA",472,504,604,829,977,AL,342376
12,1,METRO33660M33660,"Mobile, AL MSA",520,551,629,828,998,AL,399843
13,1,METRO33860M33860,"Montgomery, AL MSA",511,587,667,896,1169,AL,346528
14,1,METRO46220M46220,"Tuscaloosa, AL MSA",458,514,642,842,868,AL,192034
54,2,METRO11260M11260,"Anchorage, AK HUD Metro FMR Area",691,789,989,1441,1737,AK,260283
56,2,METRO21820M21820,"Fairbanks, AK MSA",586,710,901,1293,1394,AK,82840
81,4,METRO22380M22380,"Flagstaff, AZ MSA",759,874,996,1296,1706,AZ,116320
82,4,METRO38060M38060,"Phoenix-Mesa-Scottsdale, AZ MSA",553,648,782,1139,1359,AZ,3251876
83,4,METRO39140M39140,"Prescott, AZ MSA",631,642,791,1152,1200,AZ,167517
84,4,METRO46060M46060,"Tucson, AZ MSA",503,591,772,1114,1251,AZ,843746
85,4,METRO49740M49740,"Yuma, AZ MSA",553,617,733,1045,1233,AZ,160026
95,5,METRO22220M22220,"Fayetteville-Springdale-Rogers, AR HUD Metro FMR Area",457,483,614,892,955,AR,325364
96,5,METRO22900M22900,"Fort Smith, AR-OK HUD Metro FMR Area",368,416,524,708,783,AR,168318
98,5,METRO26300M26300,"Hot Springs, AR MSA",410,513,633,815,841,AR,88068
99,5,METRO27860MM3700,"Jonesboro, AR HUD Metro FMR Area",461,477,553,784,807,AR,82148
101,5,METRO30780M30780,"Little Rock-North Little Rock, AR HUD Metro FMR Area",528,587,654,893,972,AR,594054
103,5,METRO32820M32820,"Memphis, TN-MS-AR HUD Metro FMR Area",592,641,714,952,1000,AR,50866
104,5,METRO38220M38220,"Pine Bluff, AR MSA",405,479,587,718,804,AR,107341
105,5,METRO45500M45500,"Texarkana, TX-Texarkana, AR MSA",467,468,574,723,789,AR,40443
161,6,METRO12540M12540,"Bakersfield, CA MSA",534,576,683,996,1200,CA,661645
162,6,METRO17020M17020,"Chico, CA MSA",524,619,748,1054,1252,CA,203171
163,6,METRO20940M20940,"El Centro, CA MSA",535,602,710,1019,1245,CA,142361
164,6,METRO23420M23420,"Fresno, CA MSA",594,657,760,1105,1264,CA,799407
165,6,METRO25260M25260,"Hanford-Corcoran, CA MSA",556,581,671,978,1180,CA,129461
166,6,METRO31100MM4480,"Los Angeles-Long Beach, CA HUD Metro FMR Area",905,1094,1371,1869,2301,CA,9519338
168,6,METRO31460M31460,"Madera, CA MSA",531,568,737,1058,1090,CA,123109
169,6,METRO32900M32900,"Merced, CA MSA",519,572,691,1006,1213,CA,210554
170,6,METRO33700M33700,"Modesto, CA MSA",636,689,807,1152,1373,CA,446997
171,6,METRO34900M34900,"Napa, CA MSA",822,925,1167,1697,2046,CA,124279
172,6,METRO37100M37100,"Oxnard-Thousand Oaks-Ventura, CA MSA",1112,1234,1560,2270,2618,CA,753197
173,6,METRO39820M39820,"Redding, CA MSA",515,587,713,1041,1254,CA,163256
174,6,METRO40140M40140,"Riverside-San Bernardino-Ontario, CA MSA",765,835,974,1383,1617,CA,3254821
175,6,METRO40900M40900,"Sacramento--Arden-Arcade--Roseville, CA HUD Metro FMR Area",768,875,1043,1520,1771,CA,1628197
176,6,METRO40900MM9270,"Yolo, CA HUD Metro FMR Area",735,804,952,1387,1672,CA,168660
177,6,METRO41500M41500,"Salinas, CA MSA",904,1014,1197,1742,1813,CA,401762
178,6,METRO41740M41740,"San Diego-Carlsbad-San Marcos, CA MSA",870,993,1205,1757,2118,CA,2813833
179,6,METRO41860MM5775,"Oakland-Fremont, CA HUD Metro FMR Area",952,1141,1352,1883,2311,CA,2392557
180,6,METRO41860MM7360,"San Francisco, CA HUD Metro FMR Area",1106,1356,1702,2259,2425,CA,1731183
181,6,METRO41940M41940,"San Jose-Sunnyvale-Santa Clara, CA HUD Metro FMR Area",948,1114,1315,1888,2071,CA,1682585
183,6,METRO42020M42020,"San Luis Obispo-Paso Robles, CA MSA",693,827,1012,1473,1554,CA,246681
184,6,METRO42060M42060,"Santa Barbara-Santa Maria, CA MSA",924,1043,1224,1545,1860,CA,399347
185,6,METRO42100M42100,"Santa Cruz-Watsonville, CA MSA",953,1120,1466,2134,2284,CA,255602
186,6,METRO42220M42220,"Santa Rosa-Petaluma, CA MSA",808,978,1223,1781,2069,CA,458614
187,6,METRO44700M44700,"Stockton, CA MSA",663,746,914,1263,1607,CA,563598
188,6,METRO46700M46700,"Vallejo-Fairfield, CA MSA",863,937,1073,1476,1787,CA,394542
189,6,METRO47300M47300,"Visalia-Porterville, CA MSA",561,595,684,998,1026,CA,368021
190,6,METRO49700M49700,"Yuba City, CA MSA",483,548,663,965,1162,CA,139149
212,8,METRO14500M14500,"Boulder, CO MSA",767,871,1103,1607,1921,CO,269814
213,8,METRO17820M17820,"Colorado Springs, CO HUD Metro FMR Area",592,672,832,1201,1415,CO,516929
215,8,METRO19740M19740,"Denver-Aurora, CO MSA",630,718,909,1291,1504,CO,2179240
216,8,METRO22660M22660,"Fort Collins-Loveland, CO MSA",621,728,849,1237,1488,CO,251494
217,8,METRO24300M24300,"Grand Junction, CO MSA",526,527,632,922,1112,CO,116255
218,8,METRO24540M24540,"Greeley, CO MSA",590,605,731,1067,1269,CO,180926
219,8,METRO39380M39380,"Pueblo, CO MSA",506,527,695,909,1038,CO,141472
267,9,METRO14860MM1160,"Bridgeport, CT HUD Metro FMR Area",723,906,1100,1315,1598,CT,345708
268,9,METRO14860MM1930,"Danbury, CT HUD Metro FMR Area",875,1083,1336,1645,1976,CT,183303
269,9,METRO14860MM8040,"Stamford-Norwalk, CT HUD Metro FMR Area",1137,1375,1747,2303,2993,CT,353556
270,9,METRO25540M25540,"Hartford-West Hartford-East Hartford, CT HUD Metro FMR Area",703,842,1029,1236,1534,CT,1101732
