,State,CBSASub,Areaname,Rent50_0,Rent50_1,Rent50_2,Rent50_3,Rent50_4,state_alpha,pop2000
0,1,METRO11500M11500,"Anniston-Oxford, AL MSA",437,453,556,752,879,AL,112249
1,1,METRO12220M12220,"Auburn-Opelika, AL MSA",408,487,627,853,875,AL,115092
2,1,METRO13820M13820,"Birmingham-Hoover, AL HUD Metro FMR Area",584,672,749,954,1024,AL,941932
5,1,METRO17980M17980,"Columbus, GA-AL MSA",564,597,680,896,1061,AL,49756
6,1,METRO19460M19460,"Decatur, AL MSA",437,498,561,766,788,AL,145867
7,1,METRO20020M20020,"Dothan, AL HUD Metro FMR Area",413,481,534,678,778,AL,114551
9,1,METRO22520M22520,"Florence-Muscle Shoals, AL MSA",467,469,575,758,882,AL,142950
10,1,METRO23460M23460,"Gadsden, AL MSA",428,489,569,743,768,AL,103459
11,1,METRO26620M26620,"Huntsville, AL MSA",504,538,645,885,1044,AL,342376
12,1,METRO33660M33660,"Mobile, AL MSA",553,586,669,880,1062,AL,399843
13,1,METRO33860M33860,"Montgomery, AL MSA",542,623,708,951,1241,AL,346528
14,1,METRO46220M46220,"Tuscaloosa, AL MSA",488,547,684,897,925,AL,192034
54,2,METRO11260M11260,"Anchorage, AK HUD Metro FMR Area",682,778,975,1421,1712,AK,260283
56,2,METRO21820M21820,"Fairbanks, AK MSA",638,774,982,1409,1519,AK,82840
81,4,METRO22380M22380,"Flagstaff, AZ MSA",845,974,1109,1443,1900,AZ,116320
82,4,METRO29420M29420,"Lake Havasu City-Kingman, AZ MSA",611,653,771,1089,1236,AZ,155032
83,4,METRO38060M38060,"Phoenix-Mesa-Scottsdale, AZ MSA",609,715,862,1256,1498,AZ,3251876
84,4,METRO39140M39140,"Prescott, AZ MSA",692,703,867,1263,1315,AZ,167517
85,4,METRO46060M46060,"Tucson, AZ MSA",501,588,769,1110,1246,AZ,843746
86,4,METRO49740M49740,"Yuma, AZ MSA",591,659,783,1116,1317,AZ,160026
95,5,METRO22220M22220,"Fayetteville-Springdale-Rogers, AR HUD Metro FMR Area",500,528,672,976,1045,AR,325364
96,5,METRO22900M22900,"Fort Smith, AR-OK HUD Metro FMR Area",401,453,571,771,853,AR,168318
98,5,METRO26300M26300,"Hot Springs, AR MSA",442,552,682,878,906,AR,88068
99,5,METRO27860MM3700,"Jonesboro, AR HUD Metro FMR Area",497,514,596,845,870,AR,82148
101,5,METRO30780M30780,"Little Rock-North Little Rock-Conway, AR HUD Metro FMR Area",583,648,722,986,1073,AR,594054
103,5,METRO32820M32820,"Memphis, TN-MS-AR HUD Metro FMR Area",665,720,802,1069,1123,AR,50866
104,5,METRO38220M38220,"Pine Bluff, AR MSA",437,517,633,774,867,AR,107341
105,5,METRO45500M45500,"Texarkana, TX-Texarkana, AR MSA",506,508,623,784,857,AR,40443
161,6,METRO12540M12540,"Bakersfield, CA MSA",561,605,717,1046,1260,CA,661645
162,6,METRO17020M17020,"Chico, CA MSA",591,698,844,1189,1413,CA,203171
163,6,METRO20940M20940,"El Centro, CA MSA",617,695,819,1175,1436,CA,142361
164,6,METRO23420M23420,"Fresno, CA MSA",661,731,845,1229,1405,CA,799407
165,6,METRO25260M25260,"Hanford-Corcoran, CA MSA",642,670,774,1128,1361,CA,129461
166,6,METRO31100MM4480,"Los Angeles-Long Beach, CA HUD Metro FMR Area",937,1132,1419,1934,2381,CA,9519338
168,6,METRO31460M31460,"Madera, CA MSA",616,659,855,1227,1265,CA,123109
169,6,METRO32900M32900,"Merced, CA MSA",584,644,778,1133,1366,CA,210554
170,6,METRO33700M33700,"Modesto, CA MSA",724,785,919,1312,1563,CA,446997
171,6,METRO34900M34900,"Napa, CA MSA",895,1009,1272,1849,2230,CA,124279
172,6,METRO37100M37100,"Oxnard-Thousand Oaks-Ventura, CA MSA",1074,1192,1507,2193,2529,CA,753197
173,6,METRO39820M39820,"Redding, CA MSA",581,661,803,1172,1412,CA,163256
174,6,METRO40140M40140,"Riverside-San Bernardino-Ontario, CA MSA",896,979,1142,1622,1896,CA,3254821
175,6,METRO40900M40900,"Sacramento--Arden-Arcade--Roseville, CA HUD Metro FMR Area",760,866,1032,1504,1752,CA,1628197
176,6,METRO40900MM9270,"Yolo, CA HUD Metro FMR Area",818,895,1059,1543,1860,CA,168660
177,6,METRO41500M41500,"Salinas, CA MSA",908,1018,1202,1749,1821,CA,401762
178,6,METRO41740M41740,"San Diego-Carlsbad-San Marcos, CA MSA",978,1117,1355,1976,2382,CA,2813833
179,6,METRO41860MM5775,"Oakland-Fremont, CA HUD Metro FMR Area",921,1104,1308,1822,2235,CA,2392557
