,Unnamed: 0,State,CBSASub,Areaname,Rent50_0,Rent50_1,Rent50_2,Rent50_3,Rent50_4,state_alpha,pop2000
0,0,1,METRO11500M11500,"Anniston-Oxford, AL MSA",487,504,619,838,979,AL,112249.0
1,1,1,METRO12220M12220,"Auburn-Opelika, AL MSA",454,542,698,949,974,AL,115092.0
2,2,1,METRO13820M13820,"Birmingham-Hoover, AL HUD Metro FMR Area",649,746,832,1060,1137,AL,941932.0
3,5,1,METRO17980M17980,"Columbus, GA-AL MSA",598,633,721,950,1125,AL,49756.0
4,6,1,METRO19460M19460,"Decatur, AL MSA",487,555,625,853,878,AL,145867.0
5,7,1,METRO20020M20020,"Dothan, AL HUD Metro FMR Area",459,534,593,753,864,AL,114551.0
6,9,1,METRO22520M22520,"Florence-Muscle Shoals, AL MSA",519,521,639,843,980,AL,142950.0
7,10,1,METRO23460M23460,"Gadsden, AL MSA",476,544,633,827,855,AL,103459.0
8,11,1,METRO26620M26620,"Huntsville, AL MSA",561,599,718,985,1162,AL,342376.0
9,12,1,METRO33660M33660,"Mobile, AL MSA",615,652,744,979,1181,AL,399843.0
10,13,1,METRO33860M33860,"Montgomery, AL MSA",604,693,788,1058,1381,AL,346528.0
11,14,1,METRO46220M46220,"Tuscaloosa, AL MSA",543,609,761,998,1029,AL,192034.0
12,54,2,METRO11260M11260,"Anchorage, AK HUD Metro FMR Area",758,866,1085,1581,1905,AK,260283.0
13,56,2,METRO21820M21820,"Fairbanks, AK MSA",668,809,1027,1474,1589,AK,82840.0
14,76,2,NCNTY02230N02230,"Skagway Municipality, AK",900,975,1278,1564,1612,AK,644.25
15,83,4,METRO22380M22380,"Flagstaff, AZ MSA",949,1094,1246,1621,2134,AZ,116320.0
16,84,4,METRO29420M29420,"Lake Havasu City-Kingman, AZ MSA",687,734,866,1223,1388,AZ,155032.0
17,85,4,METRO38060M38060,"Phoenix-Mesa-Glendale, AZ MSA",696,816,984,1434,1710,AZ,3251876.0
18,86,4,METRO39140M39140,"Prescott, AZ MSA",776,789,973,1418,1476,AZ,167517.0
19,87,4,METRO46060M46060,"Tucson, AZ MSA",571,671,877,1266,1421,AZ,843746.0
20,88,4,METRO49740M49740,"Yuma, AZ MSA",664,740,879,1253,1478,AZ,160026.0
21,97,5,METRO22220M22220,"Fayetteville-Springdale-Rogers, AR HUD Metro FMR Area",504,532,677,983,1053,AR,325364.0
22,98,5,METRO22900M22900,"Fort Smith, AR-OK HUD Metro FMR Area",422,477,601,812,898,AR,168318.0
23,100,5,METRO26300M26300,"Hot Springs, AR MSA",461,577,712,917,946,AR,88068.0
24,101,5,METRO27860MM3700,"Jonesboro, AR HUD Metro FMR Area",519,537,622,882,908,AR,82148.0
25,103,5,METRO30780M30780,"Little Rock-North Little Rock-Conway, AR HUD Metro FMR Area",617,685,764,1043,1135,AR,594054.0
26,105,5,METRO32820M32820,"Memphis, TN-MS-AR HUD Metro FMR Area",681,737,821,1094,1149,AR,50866.0
27,106,5,METRO38220M38220,"Pine Bluff, AR MSA",455,539,660,807,904,AR,107341.0
28,107,5,METRO45500M45500,"Texarkana, TX-Texarkana, AR MSA",541,543,666,838,916,AR,40443.0
29,163,6,METRO12540M12540,"Bakersfield-Delano, CA MSA",656,708,839,1224,1474,CA,661645.0
30,164,6,METRO17020M17020,"Chico, CA MSA",653,772,933,1315,1562,CA,203171.0
31,165,6,METRO20940M20940,"El Centro, CA MSA",682,768,906,1300,1588,CA,142361.0
32,166,6,METRO23420M23420,"Fresno, CA MSA",705,780,902,1312,1500,CA,799407.0
33,167,6,METRO25260M25260,"Hanford-Corcoran, CA MSA",710,742,857,1250,1507,CA,129461.0
34,168,6,METRO31100MM4480,"Los Angeles-Long Beach, CA HUD Metro FMR Area",1029,1244,1559,2125,2616,CA,9519338.0
35,170,6,METRO31460M31460,"Madera-Chowchilla, CA MSA",681,729,946,1358,1399,CA,123109.0
36,171,6,METRO32900M32900,"Merced, CA MSA",645,711,859,1251,1508,CA,210554.0
37,172,6,METRO33700M33700,"Modesto, CA MSA",759,822,963,1375,1638,CA,446997.0
38,173,6,METRO34900M34900,"Napa, CA MSA",1039,1170,1476,2146,2587,CA,124279.0
